# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
16384 20 893369950260 4748380 3540225 51960772 26522556 5716380 4582946 4609144 2013 1013892 239465 7895 1051693 277645 990868 1604932 472 172226
16384 24 1073210113532 6813076 5167742 62535659 32332294 7359898 5950013 5683522 2361 1226367 269519 9286 1169918 429536 1510437 2605970 506 252836
16384 28 1253677612188 7526753 5638995 73972808 38136205 9160490 7560605 6642230 3462 1269455 299970 15484 1584978 479144 1733210 2756266 582 311820
16384 32 1455513214574 18541891 14501390 86345636 43644635 13959974 11888336 8540884 5817 1682302 365562 18518 1620257 641760 4024860 9783104 1204 765262
16384 36 1750000687582 24737112 19671294 96958803 46909998 15747092 13304023 9958166 5417 1758266 460690 23115 1905942 706012 5673868 14340468 1906 897279
16384 40 2035105123465 25973985 21168080 106278303 51261980 15743767 13089680 10786123 8395 1913730 517395 29858 1941970 752886 6194973 14982900 2537 775196
16384 44 2337537294614 31010049 25281905 117209364 54072376 17220794 14112500 11919061 7719 1937203 522330 32142 2082855 893435 7319633 18710132 3737 809298
16384 48 2652285375049 38789094 31826273 129811645 59579751 22297271 18650406 13737558 8591 1989132 607213 35492 2477039 898448 9145765 23882704 5832 914938
16384 52 2999823383761 47809231 38942526 143181725 64056898 27837902 23585277 16170936 9887 2321969 637965 43414 2479416 900699 10945374 30277463 8827 1089874
16384 56 3374915157702 56394613 46092088 156628214 68686160 33258505 28455541 18728146 9535 2618830 854573 43994 2994065 1065659 12665633 36070063 11538 1184644
16384 60 3792580680736 63933305 51441991 170523886 69979575 34261857 29149413 21757063 12262 2602353 853837 46479 3190806 1295225 13681864 41367098 13458 1360823
16384 64 4279456448356 72939547 58736364 185105020 71870401 38097482 32587511 25761082 8471 3037046 898087 46515 3565540 1661362 15296985 47837479 15141 1489517
32768 1 44412933357 258082 291658 1361670 128974 30079 5734 103688 292 45521 22448 356 340 533 12084 10502 10 112
32768 4 177631916397 686189 609032 5532782 3110442 821429 644234 567808 1724 117515 39698 1079 14018 7092 207919 200443 76 10792
32768 8 355335116725 1108210 951564 10945488 5292728 1349391 1026898 1131938 1617 293730 101729 3169 353298 50788 322216 304081 112 18488
32768 12 533190559452 1586210 1205947 16492297 7746680 1799721 1379837 1647156 700 382608 123702 4096 389760 141108 377143 426195 140 84249
32768 16 711224141815 2302555 1766578 22119903 9742862 2456361 1811475 2210527 1027 431232 152293 5291 402914 194852 505295 644247 235 83044
32768 20 888883841288 2658851 2078951 27796682 12544912 3224164 2463418 2783726 1419 621824 197977 9906 502289 251131 590558 745009 268 78266
32768 24 1067612061447 3236006 2471417 33410319 15404415 3725094 2871381 3240607 1958 728747 257540 9147 801850 340504 712429 1042318 351 106884
32768 28 1244940781403 3711665 2760261 39314799 18384474 4405016 3414618 3545169 2535 825098 351038 12736 942477 437798 739475 989013 388 147628
32768 32 1431861180516 4146043 3043450 44839239 20725747 4785167 3693690 4342495 4549 882544 346098 12052 904284 467019 738362 1255311 442 140121
32768 36 1716355490478 5138067 3899845 50002080 22851066 5711265 4280206 5044796 3833 1052081 388252 12862 1104742 549683 1098072 1907284 559 136374
32768 40 2004686372129 6205320 4902277 55726028 24853139 7068761 5229425 5704907 3024 1056224 454984 14746 1187239 560038 1511006 2442701 678 165214
32768 44 2292142783450 7204815 5648552 61119854 27245315 7388209 5407513 6324863 5053 1077205 501835 17465 1169944 624924 1628098 3017370 782 168711
32768 48 2588469905282 7889444 6280228 66740307 28556941 8275052 6022667 7130495 5541 1079226 546012 20447 1273049 702957 1795566 3504473 789 164793
