# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
16384 8 487995378403 187855490 132662891 222934247 100030581 564229119 138091072 476511975 40100 38874749 418067359 109360 29531208 93484196 28911828 52242217 10261 9823705
16384 12 770609440306 303315208 210723248 375852138 161981043 831344176 176936313 731343733 59946 60096907 645475081 196728 41869559 122774578 42016466 101828005 27178 14586922
16384 16 1074727858048 433732914 302395437 539299200 226472757 1120860339 253136263 970927034 86354 77846006 855508753 312367 55931499 173761137 59058803 165382152 46522 19804024
16384 20 1395630116207 587795872 410041935 711744944 297219101 1423177015 335762672 1215802272 112213 96541966 1067719854 442968 70195390 221234696 78775578 247104161 83994 25138566
16384 24 1732656193823 755153467 523616350 884358150 364951016 1718243230 387005914 1490088727 138964 117447329 1304092998 497102 84485843 243818395 97120082 341733368 121232 30735171
16384 28 2092499456643 942271087 655489504 1069120507 442538219 2024040469 491869576 1721293594 172116 136143174 1496633799 646050 101448022 309822054 119210844 452421802 188416 37048854
16384 32 2470624280409 1140103086 788994852 1225559506 507482303 2326007585 543219777 2008715947 213114 157376488 1740731948 752658 116379989 324034911 139344605 575484611 260527 42292393
16384 36 2973989186351 1384089434 950594170 1395088974 567763780 2605822129 596051108 2278245762 234489 182932889 1960829223 896618 138831458 347333171 161552907 721386810 233110 40879129
16384 40 3488532499074 1632797368 1110530276 1557627960 625190800 2864665125 609128347 2570438578 262966 214782577 2201132632 1052456 156466053 348748160 181297552 879322076 217411 38827144
16384 44 4016098526162 1892968841 1275735460 1708049403 682862511 3124332946 612702808 2876722105 294137 247182479 2453093344 1185858 173410139 338660270 200003080 1044757898 257194 36614611
16384 48 4564564311748 2160810760 1450093577 1853593479 736469162 3386617277 631825083 3169099683 339237 280293301 2690803375 1344395 190513909 343905664 217783470 1222600798 284064 35157612
16384 52 5177273246092 2452699396 1636635881 1992142717 795458803 3660743776 660629743 3460791826 369044 308474949 2932509618 1425511 207138587 349569352 238847446 1413038946 247763 33283538
16384 56 5823871139610 2740857012 1820821462 2138043507 855220792 3930430725 706575111 3728012430 398390 336063038 3149712166 1567358 227128099 378017873 258454643 1610142560 205346 31621538
16384 60 6512737746969 3014603625 2002565101 2276198985 906657375 4196110086 755025595 3988003496 459068 363042698 3361724312 1765904 244848240 413245238 272581832 1800416298 205917 28871679
16384 64 7238575259850 3316625148 2186415105 2400773829 958974912 4476250106 815211319 4249547287 534702 390456816 3574946068 2277336 266528602 448855596 288990578 1998910428 149791 26897791
32768 1 48682718758 14377323 8713940 15876717 207148 63214066 6728218 62872078 51690 4823675 56239977 5682 3580984 6202793 49204 52666 5 856641
32768 4 226185756956 87316125 61351346 95661786 40946144 295092997 57426118 262912181 17942 20074034 230062201 51596 12740412 24036939 15346080 18547222 3957 4560015
32768 8 486948545186 188072905 130224414 221840879 103947130 555985753 106198923 502333544 37542 41172768 442843083 125376 25806103 61694814 29031125 53034408 9713 9047726
32768 12 770464225705 305982133 210548714 376856228 162782074 813148443 150166471 740655006 59740 61324768 654311878 229618 38849518 102160353 43094687 104824113 25027 13895688
32768 16 1072881049502 438187731 302064026 532336595 232207486 1101503344 207355180 997110158 92250 79637062 881851384 287823 52084520 131265174 60368146 171246311 48849 18728494
32768 20 1394739135845 599638776 414412365 700614075 301757810 1398758424 271897074 1256960677 106917 99565958 1105884398 396306 65477432 162144633 82380397 258836413 91148 24049512
32768 24 1735182075473 766383959 526880363 864181307 367291494 1686703632 325219410 1521979699 140013 119458220 1336366276 511388 79111306 187737322 99271190 355600827 131829 29975483
32768 28 2093599094039 961893718 663043967 1038832091 441225789 2003225001 421600819 1773376354 161098 137243365 1546808526 654232 95717689 232007347 122706768 472029831 208155 35734394
32768 32 2472462251345 1177756852 812588668 1194613872 507842702 2294590691 450269368 2072811736 206976 159762318 1799803368 781279 109982468 232469039 145713172 607557076 275969 41016623
32768 36 2983014933097 1421732846 970260405 1348991278 564785070 2556056749 455344300 2376896664 241610 187302937 2053686216 950562 126582831 220719254 166304561 761920379 249952 39524283
32768 40 3517498899120 1685650360 1140371780 1500961560 625311846 2835206299 475401770 2683403931 277080 218025942 2303972072 1070886 142910186 209837089 191910553 929003473 240877 37096166
32768 44 4056158459204 1960592675 1315184084 1649363073 689779062 3097024449 485810150 2983170740 294504 249989092 2552396887 1210840 155778322 205047891 213406147 1107529509 267590 35020641
32768 48 4620503117445 2223253887 1493716946 1782892898 744096194 3364991598 513776481 3269083089 329964 279257625 2788043025 1323608 168107530 214067998 231628844 1292341646 279351 33118961
32768 52 5252898415271 2514410681 1679013761 1930248438 801731824 3636696368 553516870 3546838151 375900 305109965 3015144183 1492834 186559546 232273135 249329637 1484221787 237999 31384540
32768 56 5916419859323 2791055805 1855062957 2067686178 861107218 3911893399 591972646 3824483490 414898 328548593 3245120681 1604579 203042528 250595784 269484490 1684694066 252438 29624834
32768 60 6629018316577 3093271057 2050525587 2213749343 912249120 4166157538 623242807 4087011171 465063 352237627 3461872560 1836126 220768146 280990123 283873071 1893170876 190908 28351958
32768 64 7373665786809 3392907208 2236782174 2347775482 973470716 4453465223 676047865 4360508693 542662 375085411 3689210021 2314501 238247827 303038802 302287481 2097760277 192115 26766247
65536 1 48631487978 14032459 8606454 16465585 224412 62572308 5410254 63796575 54166 4867342 56974288 7273 3391370 5072786 42073 50474 4 837027
65536 4 226386681426 87732444 61356271 96127954 41555618 293958339 54577648 265833925 22804 20901866 231719852 46970 11976474 19794015 15312004 18517841 4538 4315028
65536 8 485614915384 186781727 128744020 221291886 103462648 557526919 100423142 509163417 38896 41108742 449530962 132581 25137987 52027927 29104120 53401639 12108 8862167
65536 12 767591595026 302033740 205295565 368784207 163983629 806134003 114400510 770940083 59644 62358611 684419845 204943 35746375 68851686 41620972 104747557 28985 13447529
65536 16 1071402093894 444127301 304534663 527744999 232974329 1091320182 163573591 1033616081 87430 82137563 915838292 292428 48571751 90356491 62153908 175700931 52521 18010620
65536 20 1390306299269 599907430 411093993 688902342 300114301 1387947747 225615228 1295308669 107901 100933794 1143934788 406254 60787678 116908894 81489820 261577942 93554 23373734
65536 24 1729491874662 769661877 527188096 846526621 366925814 1677686207 285995861 1554817227 142600 120231071 1367626290 505585 75137894 145855390 100293923 361144686 140670 28869681
65536 28 2085935319844 971346693 667126618 1012730276 437479499 1987788268 363135546 1819634394 162311 139568497 1591034560 669849 89806520 175286153 125933300 483446488 217500 34319068
65536 32 2464483010932 1165547411 798496056 1150021089 497228825 2271212375 400337432 2100095952 203896 159470862 1830696333 815678 105106047 188286290 142073052 609532196 291492 39715810
65536 36 2985353908406 1424046556 968834588 1311751674 556692261 2529408030 406518560 2394929616 244485 185695004 2076649537 946681 122443926 183457239 166444847 773444968 254663 37793908
65536 40 3513807561507 1697913975 1148698679 1459489052 617096121 2782279478 418900144 2682078333 272642 213886476 2311657666 1056410 138348636 186492432 190483278 949490537 255460 36822987
65536 44 4058139608698 1970781968 1330654382 1609798884 676992284 3057975158 459470494 2964770761 308049 242387301 2540958078 1175422 154109381 198326879 211182120 1127626406 255156 34746237
65536 48 4642347223172 2263573954 1518946658 1750449228 732945857 3339394881 489233515 3263769399 345185 272058188 2784735028 1288338 168614467 197252296 235447075 1321969840 275056 33430170
65536 52 5285606525746 2541438890 1698399128 1892667919 797080133 3604219145 514476662 3543908484 382156 293999607 3021475996 1444329 181496115 208952079 251180892 1519229926 267950 31111272
65536 56 5970843704451 2822568988 1884419903 2033470231 851545030 3866575792 540556142 3823506163 437914 319556922 3252231885 1593559 198367912 224401865 270251534 1725141097 214637 29538396
65536 60 6677954440680 3120927053 2073734758 2179764562 915784430 4142497932 573101330 4105575400 467891 340692040 3488582663 1818199 213258527 237637374 289023714 1934144329 217871 27451125
65536 64 7450952187009 3418580734 2268499758 2309748419 966448914 4414853470 608592556 4382775300 534624 364937442 3717782572 2293910 230296887 255727818 306914939 2148437550 173435 26044062
131072 1 48729176546 14808448 8747986 17394372 324074 62362444 4710986 65008272 50411 5734675 57379661 5653 3128165 4420378 16991 45545 5 855632
131072 4 228779282154 92060908 64735715 98118232 43203971 296795047 54875261 268873332 19573 21424167 233905521 45233 12268618 18274604 16595734 20422198 5546 4453676
131072 8 493915538525 197244874 134913423 228543225 109366675 557983355 76682794 535929917 39817 43436170 474452999 113423 24800878 30026645 30748189 58822259 13760 9178118
131072 12 778747577188 317704096 217896572 376278593 172847438 813855916 97863027 797319033 58899 63473654 709542234 184670 36009056 48012194 44998645 113396224 30558 13625671
131072 16 1087591475743 461624959 317270143 536454376 239210993 1094923581 150091382 1051949906 79622 82942034 932539476 291290 49243298 77166281 63586989 186589653 52946 18741572
131072 20 1403691008752 621671297 426275288 691972584 306165461 1390801858 200829818 1327164300 106314 103078533 1172185057 451138 62203554 90619715 84365393 274774402 101544 23998536
131072 24 1742845730754 791204696 540986273 835674548 370806385 1676276541 241130140 1601092117 142183 122784026 1411473377 499166 74151573 102426757 102919447 375287625 154688 29101003
131072 28 2096117486029 986483467 675482257 990428194 436055822 1973143942 298768051 1872682298 164514 142023869 1643362533 607461 88702591 123612482 124295970 497694990 232860 34485124
131072 32 2479521693121 1194751151 818805026 1140731341 500324214 2258582444 344483657 2147058123 204220 161630980 1875120520 770903 103296522 143966124 147351588 630952571 297971 39333948
131072 36 3001479248400 1452260733 990989945 1299806003 566606646 2530927203 388285682 2418745515 237275 187165702 2097623748 912340 122333013 158734847 172702279 794939590 262561 38366233
131072 40 3534697327182 1724046262 1171841810 1453302533 623093527 2794991784 420025345 2697662074 256310 214623084 2324432516 1056918 139302941 170129631 195431480 971016594 246254 36438691
131072 44 4092564049314 1997563935 1344443904 1585132922 672167828 3046813518 433931921 2982611706 290148 243797161 2556104107 1160782 152860115 176998454 215239584 1155265106 255310 34443230
131072 48 4661276926265 2283016121 1526157349 1729641821 728792012 3301645276 459720898 3257410616 334830 272205918 2779730037 1301011 171392738 194043240 233348860 1348959933 296023 33323600
131072 52 5309227523330 2582791415 1714290078 1867741834 791797938 3581367988 497946745 3548831399 368330 304606654 3014514542 1433862 186008739 196864931 255441755 1551945141 279032 31052327
131072 56 5993099725103 2881672583 1910531920 2009145899 846020714 3835549229 522211458 3826080917 414974 333380110 3237575202 1617733 202233237 214132149 274321698 1764757266 218932 29667797
131072 60 6720405973889 3193211998 2124726404 2161975014 919021981 4135084211 593354504 4100660904 457112 361183430 3461106766 1794575 221361285 234000035 298467688 1973706205 216503 27779905
131072 64 7462830252787 3492698923 2299139814 2274646467 959864480 4386050549 601557611 4387651311 521773 388271966 3697049163 2466895 235560244 241856686 311691570 2182398942 220304 25837055
262144 1 48784161170 14700386 8703153 17196378 379742 62350442 4177695 65030913 46154 5376118 57800999 6213 3039410 3717659 32911 69436 14 856338
262144 4 228091197087 90450520 63249045 97195339 42376649 293836024 52705717 267589473 20163 20943868 233756934 41427 12157973 17616891 15943466 19932186 5037 4514497
262144 8 489261022601 194594225 132744711 222755947 107158544 555908584 73657383 537759746 39997 43860365 475704226 97467 23106121 25194733 30840288 57410504 13157 8778909
262144 12 773743765301 315227084 212243747 371552391 169420374 803336671 86629580 799989537 61632 65893861 710579600 207485 35194683 41085082 43672130 112485086 31358 13223311
262144 16 1077646901906 459569931 309164733 527847755 230072616 1082701403 131756678 1066594868 84386 90241760 939710966 298739 47570028 59815396 62066257 182621234 58112 18241070
262144 20 1397902048196 628105901 422342119 685464765 299769304 1371978840 187140740 1331067880 115380 112505212 1167267451 354056 59850416 81795074 83420296 273754743 107077 23648554
262144 24 1739935944333 801639394 539085132 837456944 367694273 1661538604 238759370 1598973932 137996 133883315 1398270783 522095 73221130 100744738 102317775 377621754 158633 28806673
262144 28 2097900164238 1004342240 678508444 999234081 440397080 1958237174 294276091 1873180744 170606 155138902 1628965927 613783 88686303 121349086 126730044 501132827 236797 34873501
262144 32 2491304921872 1222618555 830050516 1158681945 510656488 2260413393 367021091 2139905423 201102 174154320 1853533199 721774 104525754 149179768 151036259 641475162 320635 40365068
262144 36 3010051561708 1467051823 993632108 1310116464 565753071 2513476839 390601956 2409170325 235852 197243618 2075617942 911197 124800980 165096659 173242761 801366919 275369 38156861
262144 40 3537401510718 1734811347 1168424464 1448122249 611788224 2757240852 401771307 2691850496 262073 228470415 2303488254 1042308 141308243 170542193 192788892 971947001 271812 36676375
262144 44 4094423895979 2014443387 1345179460 1603840698 674591908 3015554152 444467427 2954411481 292184 256753694 2514123223 1142196 161700840 194616943 212077575 1159119603 259731 35019556
262144 48 4670202559709 2314645918 1550773308 1753673680 737435411 3296443276 501626245 3224846614 339274 286634039 2730327124 1299309 178913869 215144895 237490473 1362720893 307306 33052753
262144 52 5305225197436 2608525223 1732017408 1874541872 783739662 3549065726 514441122 3513887571 361436 317021983 2964854215 1454844 193169338 219784892 255161809 1563376529 272726 31439421
