# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
32768 48 190444557 51760 40117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 52 206320663 54241 44036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 56 222549728 59199 46122 77456 22686 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 60 234930425 63331 49338 103192 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32768 64 252030232 66950 52473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 1 8308801 3723 3069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 4 28735004 7237 5828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 8 55935038 12062 9724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 12 87165292 19462 15268 5128 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 16 120169063 30572 20692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 20 151671512 39223 27807 22753 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 24 186026024 44907 33404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 28 219500066 51398 40172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 32 252816567 69951 48705 58856 8487 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 36 286862712 68220 52094 60326 32450 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 40 307744405 81352 58600 110831 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 44 345456223 95465 63920 115805 31605 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 48 384327798 98005 69546 111930 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 52 404445596 107070 75194 129731 30327 2814 0 0 0 0 0 0 0 0 0 0 0 0
65536 56 446528228 118170 81519 144423 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 60 483553847 118213 88733 171081 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65536 64 511556406 132436 94587 177371 48637 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 1 14230095 4321 3178 494 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 4 52417656 9770 7544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 8 109260323 22764 14075 5476 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 12 173436200 47273 25302 13222 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 16 237160748 60657 33368 29166 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 20 302378819 78299 46732 51332 9104 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 24 379038326 102788 60692 72351 12263 4100 0 0 0 0 0 0 0 0 0 0 0 0
131072 28 441110285 140149 75829 86864 25348 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 32 513996967 173383 98261 142568 30012 10312 0 0 0 0 0 0 0 0 0 0 0 0
131072 36 572952610 188545 100979 136782 37549 15122 0 0 0 0 0 0 0 0 0 0 0 0
131072 40 620228276 203042 123266 196981 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131072 44 693393010 225016 128011 192462 56812 21197 0 0 0 0 0 0 0 0 0 0 0 0
131072 48 771289442 266163 162690 280383 80920 27983 0 0 0 0 0 0 0 0 0 0 0 0
131072 52 840994519 280525 153064 295961 101740 33220 0 0 0 0 0 0 0 0 0 0 0 0
131072 56 920918591 278654 181373 346841 115107 33676 9705 1051 0 0 0 0 0 0 0 0 0 0
131072 60 977508608 315712 209939 396040 123216 38950 12261 0 0 0 0 0 0 0 0 0 0 0
131072 64 1033096167 322982 211860 399372 130890 49054 0 0 0 0 0 0 0 0 0 0 0 0
262144 1 25153141 6944 3480 157 600 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 4 99322464 26180 12033 848 3063 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 8 207353335 52598 24770 2345 3112 0 0 0 0 0 0 0 0 0 0 0 0 0
262144 12 316692488 126385 53123 22134 3488 8606 0 0 0 0 0 0 0 0 0 0 0 0
262144 16 419798837 156987 77476 44661 6793 6838 4418 0 0 0 0 0 0 0 0 0 0 0
262144 20 552612066 193620 95371 47992 10612 12094 0 0 0 0 0 0 0 0 0 0 0 0
262144 24 667876170 297671 152813 122486 19949 11318 0 0 0 0 0 0 0 0 0 0 0 0
262144 28 840394697 336086 193251 193351 28225 9014 9067 0 0 0 0 0 0 0 0 0 0 0
262144 32 1010318694 428717 253785 294116 56704 11396 16792 0 0 0 0 0 0 0 0 0 0 0
262144 36 1165804128 507452 291444 345480 71883 15336 14541 3909 0 0 0 0 0 0 0 0 0 0
262144 40 1311803368 609128 365712 404573 79067 20724 16034 4008 0 0 0 0 0 0 0 0 0 0
262144 44 1440320938 623259 387740 538780 140086 27575 16019 5492 0 0 0 0 0 0 0 0 0 0
262144 48 1569778674 728108 498707 668017 185407 49565 27475 7065 1 0 0 0 0 0 0 0 0 0
262144 52 1619835134 723310 465338 626370 191034 52201 25944 0 0 0 0 0 0 0 0 0 0 0
262144 56 1792142660 817515 558433 704950 205400 66333 34367 7086 16 0 0 0 0 0 0 0 0 0
262144 60 1993394406 1043809 657898 800087 235651 78598 41820 7784 17 1101 0 0 0 0 0 0 0 0
262144 64 2146984821 989106 680397 930473 303109 93156 51657 17076 17 613 528 0 0 0 0 0 0 0
524288 1 46934039 14554 6868 132 44 121 219 0 0 0 0 0 0 0 0 0 0 0
524288 4 181194652 74194 35825 5313 127 419 1211 0 0 0 0 0 0 0 0 0 0 0
524288 8 390164958 170410 85316 47248 225 338 1996 2593 0 0 0 0 0 0 0 0 0 0
524288 12 605462900 278280 145989 82810 1964 1105 3262 2872 0 0 0 0 0 0 0 0 0 0
524288 16 820255170 448971 265136 272542 16323 987 2722 2368 46 0 0 0 0 0 0 0 0 0
524288 20 1036948090 567737 383985 488982 60378 487 2673 2626 21 0 0 0 0 0 0 0 0 0
